name,status
Argentina, Current members
Australia, Alumni
Austria, Current members
Belgium, Current members
Chile, Alumni
China, Alumni
Colombia, Alumni
Czechia, Alumni
Ethiopia, Alumni
France, Current members
Germany, Current members
Ireland, Current members
Italy, Current members
Malaysia, Alumni
Netherlands, Current members
New Zealand, Current members
Norway, Alumni
Portugal, Alumni
Romania, Current members
South Korea, Current members
Switzerland, Alumni
United Kingdom, Alumni
United States of America, Alumni
Venezuela, Alumni
